北海道3区,,,荒井  聡,荒井,聡,71,立憲民主,前,https://mainichi.jp/senkyo/48shu/area/?kid=01,
北海道3区,,,高木 宏寿,高木,宏寿,57,自民,前,https://mainichi.jp/senkyo/48shu/area/?kid=01,
秋田1区,,,斉藤 大悟,斉藤,大悟,38,共産,新,https://mainichi.jp/senkyo/48shu/area/?kid=05,
千葉2区,,,竹ヶ原裕美子,,,46,希望,新,https://mainichi.jp/senkyo/48shu/area/?kid=12,
千葉7区,,,斎藤  健,斎藤,健,58,自民,前,https://mainichi.jp/senkyo/48shu/area/?kid=12,
千葉12区,,,皆川真一郎,,,63,社民,新,https://mainichi.jp/senkyo/48shu/area/?kid=12,
東京13区,,,北条 智彦,北条,智彦,34,立憲民主,新,https://mainichi.jp/senkyo/48shu/area/?kid=13,
神奈川9区,,,斎藤  温,斎藤,温,26,共産,新,https://mainichi.jp/senkyo/48shu/area/?kid=14,
静岡3区,,,宮沢 博行,宮沢,博行,42,自民,前,https://mainichi.jp/senkyo/48shu/area/?kid=22,
愛知10区,,,江崎 鉄磨,江崎,鉄磨,74,自民,前,https://mainichi.jp/senkyo/48shu/area/?kid=23,
大阪5区,,,国重  徹,国重,徹,42,公明,前,https://mainichi.jp/senkyo/48shu/area/?kid=27,
,比例 北海道ブロック (定数8) 開票終了,3,高木 宏寿,高木,宏寿,57,自民,前,https://mainichi.jp/senkyo/48shu/hirei/?bid=01,
,比例 北海道ブロック (定数8) 開票終了,1,荒井  聡,荒井,聡,71,立憲民主,前,https://mainichi.jp/senkyo/48shu/hirei/?bid=01,
,比例 東北ブロック (定数13) 開票終了,3,渡辺  大,渡辺,大,34,公明,新,https://mainichi.jp/senkyo/48shu/hirei/?bid=02,
,比例 南関東ブロック (定数22) 開票終了,2,斎藤  健,斎藤,健,58,自民,前,https://mainichi.jp/senkyo/48shu/hirei/?bid=04,
,比例 南関東ブロック (定数22) 開票終了,1,竹ヶ原裕美子,,,46,希望,新,https://mainichi.jp/senkyo/48shu/hirei/?bid=04,
,比例 南関東ブロック (定数22) 開票終了,1,皆川真一郎,,,63,社民,新,https://mainichi.jp/senkyo/48shu/hirei/?bid=04,
,比例 東京ブロック (定数17) 開票終了,1,北条 智彦,北条,智彦,34,立憲民主,新,https://mainichi.jp/senkyo/48shu/hirei/?bid=05,
,比例 北陸信越ブロック (定数11) 開票終了,2,西沢  博,西沢,博,37,共産,新,https://mainichi.jp/senkyo/48shu/hirei/?bid=06,
,比例 東海ブロック (定数21) 開票終了,1,宮沢 博行,宮沢,博行,42,自民,前,https://mainichi.jp/senkyo/48shu/hirei/?bid=07,
,比例 中国ブロック (定数11) 開票終了,23,井桜 康司,井桜,康司,61,自民,新,https://mainichi.jp/senkyo/48shu/hirei/?bid=09,
